,Mouse,Amplitude,Ensemble,TimeBin,Activity
0,RLI9-1,1.5mA,Aversive,1,0.050276204573695894
1,RLI9-1,1.5mA,Remaining,1,0.029591772826781385
2,RLI9-2,1.5mA,Aversive,1,0.028920080566275142
3,RLI9-2,1.5mA,Remaining,1,-0.013241359377074876
4,RLI9-3,1.5mA,Aversive,1,0.029048256258881168
5,RLI9-3,1.5mA,Remaining,1,-0.004379760720077021
6,RLI9-4,1.5mA,Aversive,1,0.038594143647488734
7,RLI9-4,1.5mA,Remaining,1,-0.002135805426569436
8,RLI9-5,1.5mA,Aversive,1,0.04297111133036422
9,RLI9-5,1.5mA,Remaining,1,2.1915960396484747e-05
10,RLI9-6,1.5mA,Aversive,1,0.02860952390379334
11,RLI9-6,1.5mA,Remaining,1,-0.020378205527398188
12,RLI9-7,1.5mA,Aversive,1,0.024154015854693497
13,RLI9-7,1.5mA,Remaining,1,-0.004658183166269063
14,RLI9-8,1.5mA,Aversive,1,0.044467230637078366
15,RLI9-8,1.5mA,Remaining,1,-0.0013264787441768689
16,RLI9-1,1.5mA,Aversive,2,0.027663298334217306
17,RLI9-1,1.5mA,Remaining,2,0.009536934355039413
18,RLI9-2,1.5mA,Aversive,2,0.022931602784993205
19,RLI9-2,1.5mA,Remaining,2,-0.019767717584999584
20,RLI9-3,1.5mA,Aversive,2,0.023498011382807202
21,RLI9-3,1.5mA,Remaining,2,-0.00790478672899742
22,RLI9-4,1.5mA,Aversive,2,0.03158589705978512
23,RLI9-4,1.5mA,Remaining,2,-0.009440529051069268
24,RLI9-5,1.5mA,Aversive,2,0.04954840848787664
25,RLI9-5,1.5mA,Remaining,2,-0.00244203433187124
26,RLI9-6,1.5mA,Aversive,2,0.027399307144811792
27,RLI9-6,1.5mA,Remaining,2,-0.01941862165069318
28,RLI9-7,1.5mA,Aversive,2,0.018033581103959587
29,RLI9-7,1.5mA,Remaining,2,-0.006967676957565579
30,RLI9-8,1.5mA,Aversive,2,0.0398087565959668
31,RLI9-8,1.5mA,Remaining,2,-0.007884990077820224
32,RLI9-1,1.5mA,Aversive,3,0.009741092850567533
33,RLI9-1,1.5mA,Remaining,3,-0.004894835782688211
34,RLI9-2,1.5mA,Aversive,3,0.02057425436978413
35,RLI9-2,1.5mA,Remaining,3,-0.023789885622674888
36,RLI9-3,1.5mA,Aversive,3,0.01984278900322862
37,RLI9-3,1.5mA,Remaining,3,-0.011700656792600865
38,RLI9-4,1.5mA,Aversive,3,0.025144985228240747
39,RLI9-4,1.5mA,Remaining,3,-0.012001601406822954
40,RLI9-5,1.5mA,Aversive,3,0.031145158208098187
41,RLI9-5,1.5mA,Remaining,3,-0.0026316995123979573
42,RLI9-6,1.5mA,Aversive,3,0.02337326853738647
43,RLI9-6,1.5mA,Remaining,3,-0.019220101120818754
44,RLI9-7,1.5mA,Aversive,3,0.019452158393097458
45,RLI9-7,1.5mA,Remaining,3,-0.00992544354368076
46,RLI9-8,1.5mA,Aversive,3,0.03668146876156545
47,RLI9-8,1.5mA,Remaining,3,-0.01346050213506412
48,RLI9-1,1.5mA,Aversive,4,-0.008546253986087033
49,RLI9-1,1.5mA,Remaining,4,-0.015095623419831311
50,RLI9-2,1.5mA,Aversive,4,0.016336162718742237
51,RLI9-2,1.5mA,Remaining,4,-0.02613557950219
52,RLI9-3,1.5mA,Aversive,4,0.007337973259302597
53,RLI9-3,1.5mA,Remaining,4,-0.015682089733815466
54,RLI9-4,1.5mA,Aversive,4,0.014855145754146341
55,RLI9-4,1.5mA,Remaining,4,-0.019247731829328776
56,RLI9-5,1.5mA,Aversive,4,0.02789412266918622
57,RLI9-5,1.5mA,Remaining,4,-0.010493078341276444
58,RLI9-6,1.5mA,Aversive,4,0.02786870061104779
59,RLI9-6,1.5mA,Remaining,4,-0.01791289875271834
60,RLI9-7,1.5mA,Aversive,4,0.01662681358209851
61,RLI9-7,1.5mA,Remaining,4,-0.012579535157120734
62,RLI9-8,1.5mA,Aversive,4,0.030094514517261674
63,RLI9-8,1.5mA,Remaining,4,-0.014459826869279222
64,RLI9-1,1.5mA,Aversive,5,-0.014690261020590173
65,RLI9-1,1.5mA,Remaining,5,-0.019953398562579664
66,RLI9-2,1.5mA,Aversive,5,0.01589133910140757
67,RLI9-2,1.5mA,Remaining,5,-0.028594110060185158
68,RLI9-3,1.5mA,Aversive,5,0.00816760689565896
69,RLI9-3,1.5mA,Remaining,5,-0.016121993951807467
70,RLI9-4,1.5mA,Aversive,5,0.01073076076555831
71,RLI9-4,1.5mA,Remaining,5,-0.019991649568210403
72,RLI9-5,1.5mA,Aversive,5,0.01709077390558127
73,RLI9-5,1.5mA,Remaining,5,-0.012364882922114991
74,RLI9-6,1.5mA,Aversive,5,0.020119246656060817
75,RLI9-6,1.5mA,Remaining,5,-0.022957801747752693
76,RLI9-7,1.5mA,Aversive,5,0.007802127516962799
77,RLI9-7,1.5mA,Remaining,5,-0.01666987010666002
78,RLI9-8,1.5mA,Aversive,5,0.02192099704956837
79,RLI9-8,1.5mA,Remaining,5,-0.020446791118382924
80,RLI9-1,1.5mA,Aversive,6,-0.019659603853818507
81,RLI9-1,1.5mA,Remaining,6,-0.027534655893426338
82,RLI9-2,1.5mA,Aversive,6,0.012952013877052465
83,RLI9-2,1.5mA,Remaining,6,-0.030235032108737517
84,RLI9-3,1.5mA,Aversive,6,0.0043755179445081815
85,RLI9-3,1.5mA,Remaining,6,-0.015589511025906055
86,RLI9-4,1.5mA,Aversive,6,0.0022991385161631964
87,RLI9-4,1.5mA,Remaining,6,-0.024683640199885715
88,RLI9-5,1.5mA,Aversive,6,0.017641663548730376
89,RLI9-5,1.5mA,Remaining,6,-0.017784298134772083
90,RLI9-6,1.5mA,Aversive,6,0.02102805574941601
91,RLI9-6,1.5mA,Remaining,6,-0.020389372168409158
92,RLI9-7,1.5mA,Aversive,6,0.012208561778069157
93,RLI9-7,1.5mA,Remaining,6,-0.019063718205671144
94,RLI9-8,1.5mA,Aversive,6,0.017228455888925513
95,RLI9-8,1.5mA,Remaining,6,-0.02287886598352323
