,Mouse,Amplitude,TimeBin,Motion
0,RLI5-1,0.25mA,1,1.443082500459087
1,RLI5-2,1.5mA,1,2.2924921918157666
2,RLI5-3,0.25mA,1,2.3895579307780963
3,RLI5-4,1.5mA,1,2.093545435812301
4,RLI5-5,0.25mA,1,0.9064521320755564
5,RLI5-6,1.5mA,1,0.2678203598565846
6,RLI5-7,0.25mA,1,2.663704613811956
7,RLI5-8,1.5mA,1,1.8994675388982523
8,RLI5-9,0.25mA,1,1.93413949029146
9,RLI5-10,1.5mA,1,2.369581138973464
10,RLI6-1,0.25mA,1,2.5021530631194824
11,RLI6-2,1.5mA,1,1.5254965710181563
12,RLI6-3,0.25mA,1,2.2551091416638998
13,RLI6-4,1.5mA,1,2.157305350329036
14,RLI6-6,1.5mA,1,1.4631800364181575
15,RLI6-8,0.25mA,1,2.2329640838834526
16,RLI6-9,1.5mA,1,2.530561324787715
17,RLI6-10,0.25mA,1,2.7508301772815025
18,RLI6-11,1.5mA,1,1.503266222998408
19,RLI6-12,0.25mA,1,3.1813111273133563
20,RLI8-3,1.5mA,1,1.5287195538758303
21,RLI8-6,1.5mA,1,0.9217746429296779
22,RLI5-1,0.25mA,2,1.893208012018992
23,RLI5-2,1.5mA,2,2.358461668639126
24,RLI5-3,0.25mA,2,2.543825452010064
25,RLI5-4,1.5mA,2,2.0338884920521068
26,RLI5-5,0.25mA,2,1.8765615005954466
27,RLI5-6,1.5mA,2,0.3619963650953083
28,RLI5-7,0.25mA,2,2.6583046023610644
29,RLI5-8,1.5mA,2,0.4633651248212626
30,RLI5-9,0.25mA,2,1.8101812093704197
31,RLI5-10,1.5mA,2,2.0367874396798094
32,RLI6-1,0.25mA,2,2.447743402359103
33,RLI6-2,1.5mA,2,1.5008641391771242
34,RLI6-3,0.25mA,2,2.4808992077340473
35,RLI6-4,1.5mA,2,2.577743373886463
36,RLI6-6,1.5mA,2,1.7554536229190862
37,RLI6-8,0.25mA,2,2.286165165060605
38,RLI6-9,1.5mA,2,2.6618348132301572
39,RLI6-10,0.25mA,2,3.4319889256133784
40,RLI6-11,1.5mA,2,0.44260829268128976
41,RLI6-12,0.25mA,2,3.0794654929203933
42,RLI8-3,1.5mA,2,1.0214568608228753
43,RLI8-6,1.5mA,2,0.5451301875558998
44,RLI5-1,0.25mA,3,1.2258214100914837
45,RLI5-2,1.5mA,3,1.5028569295877747
46,RLI5-3,0.25mA,3,2.3398230811695595
47,RLI5-4,1.5mA,3,1.2380682071062357
48,RLI5-5,0.25mA,3,1.6763392176005707
49,RLI5-6,1.5mA,3,1.12563030809277
50,RLI5-7,0.25mA,3,3.033993770672791
51,RLI5-8,1.5mA,3,0.5184190283692116
52,RLI5-9,0.25mA,3,1.8943763263686335
53,RLI5-10,1.5mA,3,1.9523530198130634
54,RLI6-1,0.25mA,3,2.4221974106656416
55,RLI6-2,1.5mA,3,1.847885591156421
56,RLI6-3,0.25mA,3,1.77086771491538
57,RLI6-4,1.5mA,3,1.5797245387818917
58,RLI6-6,1.5mA,3,2.3770455310616483
59,RLI6-8,0.25mA,3,2.523250379505046
60,RLI6-9,1.5mA,3,2.6166073934519436
61,RLI6-10,0.25mA,3,3.3419180716959658
62,RLI6-11,1.5mA,3,1.0768823467673316
63,RLI6-12,0.25mA,3,2.7456777647510875
64,RLI8-3,1.5mA,3,1.411857369898937
65,RLI8-6,1.5mA,3,1.0144641817293365
66,RLI5-1,0.25mA,4,1.7600805095820062
67,RLI5-2,1.5mA,4,2.0316364555855295
68,RLI5-3,0.25mA,4,2.2681800187024455
69,RLI5-4,1.5mA,4,1.9174775530964632
70,RLI5-5,0.25mA,4,1.8705026499643835
71,RLI5-6,1.5mA,4,1.7937394189050417
72,RLI5-7,0.25mA,4,2.294862754135059
73,RLI5-8,1.5mA,4,0.985690388230379
74,RLI5-9,0.25mA,4,1.127702926328379
75,RLI5-10,1.5mA,4,2.1533653038054053
76,RLI6-1,0.25mA,4,2.8016914139073243
77,RLI6-2,1.5mA,4,2.5089184609881108
78,RLI6-3,0.25mA,4,1.3909641670340567
79,RLI6-4,1.5mA,4,0.7966264103777935
80,RLI6-6,1.5mA,4,2.6527217477672087
81,RLI6-8,0.25mA,4,2.7882856807178618
82,RLI6-9,1.5mA,4,1.4929877890077943
83,RLI6-10,0.25mA,4,2.6105613607833447
84,RLI6-11,1.5mA,4,0.588613964606847
85,RLI6-12,0.25mA,4,3.034504124480096
86,RLI8-3,1.5mA,4,1.6305900966241988
87,RLI8-6,1.5mA,4,1.2872366007548337
88,RLI5-1,0.25mA,5,0.8851146157786085
89,RLI5-2,1.5mA,5,1.9216962612896011
90,RLI5-3,0.25mA,5,1.9998503834716188
91,RLI5-4,1.5mA,5,2.07330739369533
92,RLI5-5,0.25mA,5,0.8812906731588642
93,RLI5-6,1.5mA,5,1.5909600828458217
94,RLI5-7,0.25mA,5,1.9206126061205375
95,RLI5-8,1.5mA,5,1.9748882918222281
96,RLI5-9,0.25mA,5,1.7765414188060686
97,RLI5-10,1.5mA,5,2.3617431304931515
98,RLI6-1,0.25mA,5,1.328817415680071
99,RLI6-2,1.5mA,5,1.6199807431956756
100,RLI6-3,0.25mA,5,2.4636890378156475
101,RLI6-4,1.5mA,5,0.679490540979093
102,RLI6-6,1.5mA,5,1.7190734023384644
103,RLI6-8,0.25mA,5,3.194690050664871
104,RLI6-9,1.5mA,5,1.0280342071272142
105,RLI6-10,0.25mA,5,2.74092549504519
106,RLI6-11,1.5mA,5,2.407009836661389
107,RLI6-12,0.25mA,5,2.99542631437131
108,RLI8-3,1.5mA,5,0.8483771454093747
109,RLI8-6,1.5mA,5,1.6857495443288437
110,RLI5-1,0.25mA,6,0.5663187559110461
111,RLI5-2,1.5mA,6,2.280655601599013
112,RLI5-3,0.25mA,6,1.907239364182082
113,RLI5-4,1.5mA,6,1.3033002999833356
114,RLI5-5,0.25mA,6,1.983195131296995
115,RLI5-6,1.5mA,6,1.332288882323629
116,RLI5-7,0.25mA,6,3.01299104682574
117,RLI5-8,1.5mA,6,1.3213596233494969
118,RLI5-9,0.25mA,6,1.93785323487279
119,RLI5-10,1.5mA,6,2.0759559382194404
120,RLI6-1,0.25mA,6,1.3901057779656047
121,RLI6-2,1.5mA,6,1.8564418130939493
122,RLI6-3,0.25mA,6,1.5841999452119218
123,RLI6-4,1.5mA,6,0.7910757201538142
124,RLI6-6,1.5mA,6,1.995937498960158
125,RLI6-8,0.25mA,6,2.2799250542046714
126,RLI6-9,1.5mA,6,2.4676081776110665
127,RLI6-10,0.25mA,6,2.905679004890007
128,RLI6-11,1.5mA,6,2.1072024969436733
129,RLI6-12,0.25mA,6,2.9460096362233275
130,RLI8-3,1.5mA,6,1.5267138244926044
131,RLI8-6,1.5mA,6,1.1276209107464612
132,RLI5-1,0.25mA,7,1.0110580627421075
133,RLI5-2,1.5mA,7,1.331567492808151
134,RLI5-3,0.25mA,7,2.727196071790038
135,RLI5-4,1.5mA,7,0.9744328267675257
136,RLI5-5,0.25mA,7,1.3168419981015391
137,RLI5-6,1.5mA,7,1.0594334587130807
138,RLI5-7,0.25mA,7,3.2115351360005313
139,RLI5-8,1.5mA,7,1.5874606815353736
140,RLI5-9,0.25mA,7,0.8849702572983089
141,RLI5-10,1.5mA,7,1.7762188604685758
142,RLI6-1,0.25mA,7,2.4882836984954575
143,RLI6-2,1.5mA,7,2.128271771714325
144,RLI6-3,0.25mA,7,1.0341702234844234
145,RLI6-4,1.5mA,7,2.0221638300134384
146,RLI6-6,1.5mA,7,1.6501877921952524
147,RLI6-8,0.25mA,7,2.2958804301967555
148,RLI6-9,1.5mA,7,2.476115260594959
149,RLI6-10,0.25mA,7,2.264613775101381
150,RLI6-11,1.5mA,7,2.0957183479830572
151,RLI6-12,0.25mA,7,3.313220766856423
152,RLI8-3,1.5mA,7,1.5747272161566093
153,RLI8-6,1.5mA,7,1.441593078659728
154,RLI5-1,0.25mA,8,0.8354433832956057
155,RLI5-2,1.5mA,8,2.4313799339650646
156,RLI5-3,0.25mA,8,0.6782735215092613
157,RLI5-4,1.5mA,8,1.9219802748715453
158,RLI5-5,0.25mA,8,1.9488304780125167
159,RLI5-6,1.5mA,8,0.6259129051209154
160,RLI5-7,0.25mA,8,1.6721606633915003
161,RLI5-8,1.5mA,8,1.1631734100984952
162,RLI5-9,0.25mA,8,1.2089471390967408
163,RLI5-10,1.5mA,8,1.5855393821708312
164,RLI6-1,0.25mA,8,2.571864509728954
165,RLI6-2,1.5mA,8,2.0525869921355615
166,RLI6-3,0.25mA,8,2.1077707285466896
167,RLI6-4,1.5mA,8,2.6388639704390293
168,RLI6-6,1.5mA,8,1.9803117380616304
169,RLI6-8,0.25mA,8,2.516794331077117
170,RLI6-9,1.5mA,8,1.974117709801075
171,RLI6-10,0.25mA,8,1.4607208495170625
172,RLI6-11,1.5mA,8,1.9326301347269264
173,RLI6-12,0.25mA,8,2.924617337469379
174,RLI8-3,1.5mA,8,1.3897016739272496
175,RLI8-6,1.5mA,8,2.069216087834923
176,RLI5-1,0.25mA,9,2.021523597157672
177,RLI5-2,1.5mA,9,2.1503609854722434
178,RLI5-3,0.25mA,9,2.5839700684114133
179,RLI5-4,1.5mA,9,2.187807900983805
180,RLI5-5,0.25mA,9,1.680822154266721
181,RLI5-6,1.5mA,9,0.5328948154068391
182,RLI5-7,0.25mA,9,3.0128040138113046
183,RLI5-8,1.5mA,9,1.2961551051599627
184,RLI5-9,0.25mA,9,1.5342915449111276
185,RLI5-10,1.5mA,9,1.9860192083176147
186,RLI6-1,0.25mA,9,2.8484901718062203
187,RLI6-2,1.5mA,9,2.2518107451788913
188,RLI6-3,0.25mA,9,1.2949951650752098
189,RLI6-4,1.5mA,9,2.5910605812895526
190,RLI6-6,1.5mA,9,1.7556677070087545
191,RLI6-8,0.25mA,9,1.7350781390173515
192,RLI6-9,1.5mA,9,1.9162562241224554
193,RLI6-10,0.25mA,9,3.041508611582143
194,RLI6-11,1.5mA,9,1.8009037259486975
195,RLI6-12,0.25mA,9,3.2127938832000256
196,RLI8-3,1.5mA,9,1.909557882720523
197,RLI8-6,1.5mA,9,0.6941296554689946
198,RLI5-1,0.25mA,10,1.5489944942636593
199,RLI5-2,1.5mA,10,2.196248625797837
200,RLI5-3,0.25mA,10,2.539721058678533
201,RLI5-4,1.5mA,10,2.11305798361097
202,RLI5-5,0.25mA,10,0.6352746934533353
203,RLI5-6,1.5mA,10,0.6157703814619611
204,RLI5-7,0.25mA,10,3.5100244941554974
205,RLI5-8,1.5mA,10,1.643423106268211
206,RLI5-9,0.25mA,10,0.9842267694295569
207,RLI5-10,1.5mA,10,2.1914826526914144
208,RLI6-1,0.25mA,10,2.198098956216188
209,RLI6-2,1.5mA,10,2.406650263735371
210,RLI6-3,0.25mA,10,1.4126875637100438
211,RLI6-4,1.5mA,10,2.762068439983788
212,RLI6-6,1.5mA,10,2.802703231088129
213,RLI6-8,0.25mA,10,2.2435688174626187
214,RLI6-9,1.5mA,10,2.410146898710016
215,RLI6-10,0.25mA,10,2.8689369375618994
216,RLI6-11,1.5mA,10,1.9065946749900538
217,RLI6-12,0.25mA,10,3.359312281335023
218,RLI8-3,1.5mA,10,1.2810711426758088
219,RLI8-6,1.5mA,10,0.48326876412877573
220,RLI5-1,0.25mA,11,1.2864727510744707
221,RLI5-2,1.5mA,11,2.050069655482367
222,RLI5-3,0.25mA,11,1.956004613445612
223,RLI5-4,1.5mA,11,2.014833766390628
224,RLI5-5,0.25mA,11,1.519832538254936
225,RLI5-6,1.5mA,11,1.395203567488961
226,RLI5-7,0.25mA,11,0.7419758520833736
227,RLI5-8,1.5mA,11,1.3933274228046533
228,RLI5-9,0.25mA,11,1.886670664371066
229,RLI5-10,1.5mA,11,1.6894372143812943
230,RLI6-1,0.25mA,11,2.6706292548669794
231,RLI6-2,1.5mA,11,2.341452278746514
232,RLI6-3,0.25mA,11,1.5474823661795998
233,RLI6-4,1.5mA,11,2.7276940817405735
234,RLI6-6,1.5mA,11,1.278493803028562
235,RLI6-8,0.25mA,11,2.7858564977582128
236,RLI6-9,1.5mA,11,2.1799697628280814
237,RLI6-10,0.25mA,11,3.32064813780288
238,RLI6-11,1.5mA,11,2.379363916757568
239,RLI6-12,0.25mA,11,3.710470348523731
240,RLI8-3,1.5mA,11,0.920837932732581
241,RLI8-6,1.5mA,11,0.7276173811809085
242,RLI5-1,0.25mA,12,1.0040929221079007
243,RLI5-2,1.5mA,12,1.1115266240040893
244,RLI5-3,0.25mA,12,2.5532896123006767
245,RLI5-4,1.5mA,12,1.5053952715420122
246,RLI5-5,0.25mA,12,2.083697765355004
247,RLI5-6,1.5mA,12,0.4980351784082699
248,RLI5-7,0.25mA,12,2.0505339678807553
249,RLI5-8,1.5mA,12,1.5170863680770998
250,RLI5-9,0.25mA,12,1.6264479934231992
251,RLI5-10,1.5mA,12,1.848707564863411
252,RLI6-1,0.25mA,12,0.8886358294534378
253,RLI6-2,1.5mA,12,2.188726576460619
254,RLI6-3,0.25mA,12,1.8178691658027153
255,RLI6-4,1.5mA,12,2.3916855424053574
256,RLI6-6,1.5mA,12,1.862155067364998
257,RLI6-8,0.25mA,12,2.5373542132613225
258,RLI6-9,1.5mA,12,2.7050794468991626
259,RLI6-10,0.25mA,12,1.9741013380778436
260,RLI6-11,1.5mA,12,2.42778479442812
261,RLI6-12,0.25mA,12,3.3650762953068942
262,RLI8-3,1.5mA,12,1.8748093574684974
263,RLI8-6,1.5mA,12,1.6445701378707698
264,RLI5-1,0.25mA,13,0.6194624980296104
265,RLI5-2,1.5mA,13,1.7118474000670252
266,RLI5-3,0.25mA,13,1.9709759354844707
267,RLI5-4,1.5mA,13,2.3384047416504097
268,RLI5-5,0.25mA,13,1.2550015619651969
269,RLI5-6,1.5mA,13,1.2091478886765465
270,RLI5-7,0.25mA,13,2.649445679777833
271,RLI5-8,1.5mA,13,2.090896644281428
272,RLI5-9,0.25mA,13,1.1846806379181227
273,RLI5-10,1.5mA,13,2.2011016601735327
274,RLI6-1,0.25mA,13,2.986736099238206
275,RLI6-2,1.5mA,13,2.3205844162701865
276,RLI6-3,0.25mA,13,1.1291475114204337
277,RLI6-4,1.5mA,13,2.322675355522462
278,RLI6-6,1.5mA,13,2.2786018199919615
279,RLI6-8,0.25mA,13,2.4582003113075688
280,RLI6-9,1.5mA,13,2.407522745897578
281,RLI6-10,0.25mA,13,2.758985315396583
282,RLI6-11,1.5mA,13,1.5960901985796196
283,RLI6-12,0.25mA,13,2.934504550010378
284,RLI8-3,1.5mA,13,1.9766071127194216
285,RLI8-6,1.5mA,13,1.5469741827477503
286,RLI5-1,0.25mA,14,0.8056224380656666
287,RLI5-2,1.5mA,14,2.258773444105538
288,RLI5-3,0.25mA,14,2.3507992129307707
289,RLI5-4,1.5mA,14,1.1176461172213341
290,RLI5-5,0.25mA,14,2.099811006879497
291,RLI5-6,1.5mA,14,1.484819246995963
292,RLI5-7,0.25mA,14,3.3554599674112646
293,RLI5-8,1.5mA,14,1.774326717607943
294,RLI5-9,0.25mA,14,0.9856337065851487
295,RLI5-10,1.5mA,14,2.8111831753678866
296,RLI6-1,0.25mA,14,2.568668325597751
297,RLI6-2,1.5mA,14,2.1592801672044826
298,RLI6-3,0.25mA,14,1.6595077149017734
299,RLI6-4,1.5mA,14,2.3809718484809785
300,RLI6-6,1.5mA,14,2.3630889288402335
301,RLI6-8,0.25mA,14,2.6602446295803963
302,RLI6-9,1.5mA,14,2.4880546866034927
303,RLI6-10,0.25mA,14,2.6040606327447415
304,RLI6-11,1.5mA,14,2.2050947887692622
305,RLI6-12,0.25mA,14,2.548421426568165
306,RLI8-3,1.5mA,14,1.9243283634078259
307,RLI8-6,1.5mA,14,1.4024130703741002
308,RLI5-1,0.25mA,15,2.008973491411986
309,RLI5-2,1.5mA,15,2.547590252917839
310,RLI5-3,0.25mA,15,2.4679402926340255
311,RLI5-4,1.5mA,15,0.9493067864388401
312,RLI5-5,0.25mA,15,1.752849136432776
313,RLI5-6,1.5mA,15,2.399376745757685
314,RLI5-7,0.25mA,15,2.6861257054851713
315,RLI5-8,1.5mA,15,1.5703571523738404
316,RLI5-9,0.25mA,15,1.9235664360926665
317,RLI5-10,1.5mA,15,2.292611620929555
318,RLI6-1,0.25mA,15,2.591420389454438
319,RLI6-2,1.5mA,15,1.1601900584355411
320,RLI6-3,0.25mA,15,1.8234737804464305
321,RLI6-4,1.5mA,15,2.3610120409383297
322,RLI6-6,1.5mA,15,1.4706506293029278
323,RLI6-8,0.25mA,15,2.268855165375911
324,RLI6-9,1.5mA,15,2.621009903591043
325,RLI6-10,0.25mA,15,2.981512603619958
326,RLI6-11,1.5mA,15,2.5644841267470326
327,RLI6-12,0.25mA,15,3.2394768932910196
328,RLI8-3,1.5mA,15,1.9046100688291745
329,RLI8-6,1.5mA,15,1.5161434359891306
330,RLI5-1,0.25mA,16,0.9752726081279616
331,RLI5-2,1.5mA,16,2.174296605922663
332,RLI5-3,0.25mA,16,2.443676289991142
333,RLI5-4,1.5mA,16,1.4394213821720347
334,RLI5-5,0.25mA,16,1.5678185323972087
335,RLI5-6,1.5mA,16,2.7073026957880093
336,RLI5-7,0.25mA,16,2.6363288040246213
337,RLI5-8,1.5mA,16,1.1607297931674538
338,RLI5-9,0.25mA,16,1.923611730663167
339,RLI5-10,1.5mA,16,1.4970866469914164
340,RLI6-1,0.25mA,16,2.5974101159961633
341,RLI6-2,1.5mA,16,1.0021185863308546
342,RLI6-3,0.25mA,16,0.9898195456305405
343,RLI6-4,1.5mA,16,0.8810607616569648
344,RLI6-6,1.5mA,16,1.8671959424319766
345,RLI6-8,0.25mA,16,2.0384563258349115
346,RLI6-9,1.5mA,16,2.387763319715914
347,RLI6-10,0.25mA,16,2.5104297962796536
348,RLI6-11,1.5mA,16,2.169333286598702
349,RLI6-12,0.25mA,16,1.909319679914669
350,RLI8-3,1.5mA,16,1.2922217006416563
351,RLI8-6,1.5mA,16,1.491950717539069
352,RLI5-1,0.25mA,17,1.0478343827115757
353,RLI5-2,1.5mA,17,2.2196870526044155
354,RLI5-3,0.25mA,17,1.94406519570822
355,RLI5-4,1.5mA,17,1.9710235840778856
356,RLI5-5,0.25mA,17,1.031628095902533
357,RLI5-6,1.5mA,17,1.7254709818758778
358,RLI5-7,0.25mA,17,3.0451603436703802
359,RLI5-8,1.5mA,17,0.5526132264765606
360,RLI5-9,0.25mA,17,1.736924664313873
361,RLI5-10,1.5mA,17,1.0149083773438516
362,RLI6-1,0.25mA,17,1.995633498571826
363,RLI6-2,1.5mA,17,1.5307959170871694
364,RLI6-3,0.25mA,17,1.2538841263437839
365,RLI6-4,1.5mA,17,2.372201664611895
366,RLI6-6,1.5mA,17,2.4961869053996426
367,RLI6-8,0.25mA,17,3.0544014277220963
368,RLI6-9,1.5mA,17,2.72385587821134
369,RLI6-10,0.25mA,17,3.2623958254155228
370,RLI6-11,1.5mA,17,2.0101206473836655
371,RLI6-12,0.25mA,17,2.724028145755243
372,RLI8-3,1.5mA,17,0.6878036821204465
373,RLI8-6,1.5mA,17,1.767159758203259
374,RLI5-1,0.25mA,18,1.258034303741711
375,RLI5-2,1.5mA,18,2.2511382589889433
376,RLI5-3,0.25mA,18,2.1644982053003146
377,RLI5-4,1.5mA,18,2.003630661343838
378,RLI5-5,0.25mA,18,1.704237169679206
379,RLI5-6,1.5mA,18,2.336410388599622
380,RLI5-7,0.25mA,18,2.2969184012419013
381,RLI5-8,1.5mA,18,0.9729587427701284
382,RLI5-9,0.25mA,18,1.041928491299243
383,RLI5-10,1.5mA,18,1.2127472166709101
384,RLI6-1,0.25mA,18,2.1590587361678444
385,RLI6-2,1.5mA,18,2.5496675195467873
386,RLI6-3,0.25mA,18,0.6250190413897494
387,RLI6-4,1.5mA,18,2.5696671854703754
388,RLI6-6,1.5mA,18,2.145923278243839
389,RLI6-8,0.25mA,18,1.9085573186890636
390,RLI6-9,1.5mA,18,2.3838374263886877
391,RLI6-10,0.25mA,18,2.3291845146177774
392,RLI6-11,1.5mA,18,1.9580935394734655
393,RLI6-12,0.25mA,18,3.453305572576236
394,RLI8-3,1.5mA,18,1.951898323436643
395,RLI8-6,1.5mA,18,1.1134119416798391
396,RLI5-1,0.25mA,19,0.8522369862937214
397,RLI5-2,1.5mA,19,1.3742621519106712
398,RLI5-3,0.25mA,19,1.785742355075321
399,RLI5-4,1.5mA,19,2.1254111848988035
400,RLI5-5,0.25mA,19,1.3139998579894405
401,RLI5-6,1.5mA,19,1.534821319247181
402,RLI5-7,0.25mA,19,2.3859362102929604
403,RLI5-8,1.5mA,19,1.5816264641165232
404,RLI5-9,0.25mA,19,1.9282328123495398
405,RLI5-10,1.5mA,19,1.7272029886219287
406,RLI6-1,0.25mA,19,2.521148878670268
407,RLI6-2,1.5mA,19,1.817513916907555
408,RLI6-3,0.25mA,19,1.1856700336348056
409,RLI6-4,1.5mA,19,1.924339782458022
410,RLI6-6,1.5mA,19,1.278716291680162
411,RLI6-8,0.25mA,19,2.1810573696839985
412,RLI6-9,1.5mA,19,2.403766169401585
413,RLI6-10,0.25mA,19,3.142566281160944
414,RLI6-11,1.5mA,19,0.7186957490531182
415,RLI6-12,0.25mA,19,3.280134613071496
416,RLI8-3,1.5mA,19,1.780442986557379
417,RLI8-6,1.5mA,19,0.6827203871444165
418,RLI5-1,0.25mA,20,0.8491764004175895
419,RLI5-2,1.5mA,20,2.409132352702071
420,RLI5-3,0.25mA,20,1.9757464244419705
421,RLI5-4,1.5mA,20,2.7490387884066125
422,RLI5-5,0.25mA,20,1.450306660510512
423,RLI5-6,1.5mA,20,2.1815944025230154
424,RLI5-7,0.25mA,20,1.9038192272595331
425,RLI5-8,1.5mA,20,1.5597357460518766
426,RLI5-9,0.25mA,20,2.1977049733367076
427,RLI5-10,1.5mA,20,2.0175484899515115
428,RLI6-1,0.25mA,20,2.508361476205972
429,RLI6-2,1.5mA,20,2.275676156610563
430,RLI6-3,0.25mA,20,1.8484504981231749
431,RLI6-4,1.5mA,20,1.1792477193458006
432,RLI6-6,1.5mA,20,0.9227364092217516
433,RLI6-8,0.25mA,20,2.904927407741282
434,RLI6-9,1.5mA,20,2.2946890401092235
435,RLI6-10,0.25mA,20,3.0472402307447215
436,RLI6-11,1.5mA,20,2.13084384493799
437,RLI6-12,0.25mA,20,2.7514392144531796
438,RLI8-3,1.5mA,20,2.200946456311272
439,RLI8-6,1.5mA,20,0.8820329114829005
440,RLI5-1,0.25mA,21,1.8476222156701676
441,RLI5-2,1.5mA,21,2.5057328073642777
442,RLI5-3,0.25mA,21,2.0837248661848164
443,RLI5-4,1.5mA,21,2.8780258575587734
444,RLI5-5,0.25mA,21,1.7921911921639198
445,RLI5-6,1.5mA,21,1.272329568249887
446,RLI5-7,0.25mA,21,2.0957848117498745
447,RLI5-8,1.5mA,21,1.0726208431311244
